id,gmtModified,commentorId,userNickName,content,mark,schoolName,termId,status,courseId
83966,1517580746052,1014950877,mooc1456128749104,重点、难点突出，深入浅出。 视频剪辑还需要努力，可以推出专门的mooc视频。 增加一些工程测量的实例。 ,4.0,,1002285018,1,1001850003
486878,1545894540444,1014066757,何必o执着,很好！慕课结合课堂学习，让我们能够更上一层楼，不断丰富自己。,5.0,,1003309021,1,1001850003
2278571,1573702515357,1027966473,mooc1498612083821,中误差的传递能不能发个课件还有计算的过程。,5.0,,1207009205,1,1001850003
6284632,1688026289582,1553744753,HS莫比乌斯,讲课贴合实际，增长理论知识，对实际操作指导性强,5.0,,1469998454,1,1001850003
5617722,1656425643671,1525170132,mooc120074584255667562,老师讲的的真心很好，上学时没认真听讲，现在毕业自己在家学习 为老师点赞！,5.0,,1467088453,1,1001850003
2168941,1570943910768,1142935668,骆元家,板书不是太整齐，有点乱！,2.0,,1207009205,1,1001850003
2167969,1570861654318,1403068011,小位子,已经爱上了何老师，讲的太帮了,5.0,,1207009205,1,1001850003
2044635,1563538747636,1028515197,月光晴朗mooc,老师讲的很详细，很棒。通过这个课程自己的水平有所提高，感谢老师,5.0,,1206074242,1,1001850003
2020288,1562236157710,1015550664,Ann_笑潇郎,老师的讲课方式很灵活，授课内容也非常深入，建议学测量学同学好好听一下，必会收益无穷。,5.0,,1206074242,1,1001850003
2021256,1562235944264,1395978810,kk侧耳倾听kk,老师讲的形象生动，我第一次上测量学的课程，觉得学到了很多东西，能够理解测量学中的一些基础的内容，谢谢老师的讲课！,5.0,,1206074242,1,1001850003
437137,1544281309563,1139370062,落霞与孤鹜齐飞mooc11,课程很好，对我这样的人很有兴趣，也再继续从事这个行业。老师上课讲的很认真专注。性格也不错，但是为什么后面的课程没有了，希望平台引进他的课程。祝平台越做越好,5.0,,1002784042,1,1001850003
104868,1520837465200,1035844277,北纬38,何教授课讲解的很精彩，点拨的也好，知识点也突出，知识体系也全面，讲解的也生动。,5.0,,1002784042,1,1001850003
84026,1517472787710,1035807733,mooc1516152019925,教课容易被接受,5.0,,1002285018,1,1001850003
7838761,1764576522363,1386268482,汪兆霞（盘关）,老师讲得很仔细，非常感谢！,5.0,,1475727451,1,1001850003
7450749,1743563354549,1017182404,胖霞mooc,何老师讲的好，循序渐进，易懂。没有刻板的照本宣科，内容有骨有肉。不愧是走过施工一线的，真正能学以致用的教学方法。,5.0,,1474275500,1,1001850003
7304720,1734850189039,1537994097,202213610何家铉,很好很好很好,5.0,,1473269526,1,1001850003
7050252,1721695502706,1573263589,九磅十五便士k1222783602683649200,课程内容很棒，可以学习很多新知识,5.0,,1472200465,1,1001850003
6857202,1712062024365,1529907204,rrmonkey,不错啊哈哈,5.0,,1472200465,1,1001850003
6719942,1704942076615,1443128881,Alliancek,非常好！老师讲的特别细！,5.0,,1470981459,1,1001850003
6674854,1703754408014,1146082580,沈照庆,讲解细致，互动较好！,5.0,,1470981459,1,1001850003
6352973,1696553801246,1408711966,楚楚动人菌,非常好的，讲的不错，后期处理也很好,5.0,,1002784042,1,1001850003
6350302,1695197788703,1471232178,mooc98751604862104224,何彬彬老师真的太好了,5.0,,1001940009,1,1001850003
6263018,1687606668697,1490165936,李新均,"整堂课思路清晰，环节紧凑，重难点突出，设计合理。学生的课堂习惯非常好，每个人都能积极的参与到课堂中,课堂效果较好。",5.0,,1469998454,1,1001850003
6212940,1685540640419,1526321767,mooc120272510700637741,老师讲的超级棒,5.0,,1469998454,1,1001850003
6093911,1680755762560,1442101063,八十六瓣莲花,挺好的，很涨知识！,5.0,,1469998454,1,1001850003
5839978,1668601775794,1408960232,zhgy06D195赵璞,棒棒棒！！,5.0,,1468339444,1,1001850003
5789109,1667011572333,1150931883,Mocc星河鹭起,老师很专业，讲得很好,4.0,,1206074242,1,1001850003
5771395,1665793734821,1425156150,厌世walker,非常好，该厂棒，细节,5.0,,1001940009,1,1001850003
5728855,1664333468167,1464595863,园林202003徐若楠202002114,我感觉非常好,5.0,,1468339444,1,1001850003
5729521,1664331195578,1464583716,。k1249244397730568386,老师讲的很好,5.0,,1468339444,1,1001850003
5723962,1664331071013,1464592572,mooc12713387485748321,可以，不错,4.0,,1468339444,1,1001850003
5728847,1664330712534,1462991317,园林02黄芮202002068,老师讲得非常细致，而且老师好可爱！会认真学习的,5.0,,1468339444,1,1001850003
5723959,1664330269094,1464595622,园林202003刘芸,老师讲的挺好的,5.0,,1468339444,1,1001850003
5708931,1663229335475,1464462288,园林2002郭书均,老师讲课很清晰 ,5.0,,1468339444,1,1001850003
5705295,1662807305324,1416130257,mooc16004781504882123,讲的不错，感谢电子科技大学老师，祝老师节日快乐,5.0,,1468339444,1,1001850003
5697358,1662537313205,1532190053,刘军2022,何老师课讲的很好，条例清晰，很容易理解，推荐推荐！,5.0,,1468339444,1,1001850003
5702322,1662522009695,1464589697,园林202001曾佳鑫,6666666666666666666 ,5.0,,1468339444,1,1001850003
353003,1539831910440,1144334186,Si LI,看到大家的提出的问题，很是感动，为大家学习中的积极思考点个赞！,5.0,,1003111031,1,1002918014
